Order ID,Customer Name,Dish Name,Order Time,Meal Time,Customer Type,Price per Dish,Quantity,Total Revenue,Day of Week,Hour of Day,Dish Category
ORD00001,Allison Hill,Chicken Biryani,28-02-2025 04:50,Breakfast,Returning,160.2,2,320.4,Friday,4,Non-Veg
ORD00002,Lance Hoffman,Chicken Biryani,09-03-2025 00:50,Dinner,New,315.72,1,315.72,Sunday,0,Non-Veg
ORD00003,Gabrielle Davis,Chicken Biryani,03-01-2025 17:05,Breakfast,New,277.41,1,277.41,Friday,17,Non-Veg
ORD00004,Sandra Montgomery,Veg Thali,21-02-2025 02:03,Dinner,Returning,149.2,3,447.6,Friday,2,Veg
ORD00005,Henry Santiago,Samosa,15-03-2025 16:13,Breakfast,New,364.16,3,1092.48,Saturday,16,Veg
ORD00006,Andrew Stewart,Masala Dosa,26-01-2025 07:01,Breakfast,Returning,95.99,4,383.96,Sunday,7,Non-Veg
ORD00007,Nicole Patterson,Chole Bhature,09-01-2025 19:16,Lunch,Returning,413.21,4,1652.84,Thursday,19,Veg
ORD00008,Rebecca Henderson,Chicken Biryani,18-02-2025 19:24,Lunch,New,298.42,3,895.26,Tuesday,19,Non-Veg
ORD00009,Patricia Peterson,Veg Thali,22-02-2025 13:14,Dinner,New,70.62,2,141.24,Saturday,13,Veg
ORD00010,Christopher Ashley,Mutton Rogan Josh,12-03-2025 08:47,Breakfast,New,439.92,4,1759.68,Wednesday,8,Non-Veg
ORD00011,Vanessa Patel,Chicken Tikka,26-01-2025 07:14,Dinner,Returning,123.19,3,369.57,Sunday,7,Non-Veg
ORD00012,Melissa Marquez,Fish Curry,20-01-2025 01:40,Lunch,New,324.11,2,648.22,Monday,1,Non-Veg
ORD00013,Benjamin Welch,Tandoori Roti,18-02-2025 14:50,Breakfast,New,258.02,3,774.06,Tuesday,14,Non-Veg
ORD00014,Timothy Duncan,Fish Curry,26-03-2025 05:32,Dinner,New,358.08,1,358.08,Wednesday,5,Non-Veg
ORD00015,Gerald Hensley,Samosa,21-01-2025 20:21,Breakfast,Returning,230.52,1,230.52,Tuesday,20,Veg
